PDB ID,Deposition Date
4W2G,2014
4W2H,2014
4W2I,2014
4W4G,2014
4WCE,2014
4WF1,2014
4WF9,2014
4WFA,2014
4WFB,2014
4WFN,2014
4WOI,2014
4WPO,2014
4WQ1,2014
4WQF,2014
4WQR,2014
4WQU,2014
4WQY,2014
4WR6,2014
4WRA,2014
4WRO,2014
4WSD,2014
4WSM,2014
4WT1,2014
4WT8,2014
4WU1,2014
4WWW,2014
4WZD,2014
4WZO,2014
4X62,2014
4X64,2014
4X65,2014
4X66,2014
4XEJ,2014
4Y4O,2015
4Y4P,2015
4YBB,2015
4YHH,2015
4YPB,2015
4YY3,2015
4YZV,2015
4Z3S,2015
4Z8C,2015
4ZER,2015
4ZSN,2015
5A2Q,2015
5A9Z,2015
5AA0,2015
5ADY,2015
5AFI,2015
5AJ0,2015
5AJ3,2015
5AJ4,2015
5AKA,2015
5APN,2015
5APO,2015
5BR8,2015
5CZP,2015
5DAT,2015
5DC3,2015
5DFE,2015
5DGE,2015
5DGF,2015
5DGV,2015
5DM6,2015
5DM7,2015
5DOX,2015
5DOY,2015
5E7K,2015
5E81,2015
5EL4,2015
5EL5,2015
5EL6,2015
5EL7,2015
5EM2,2015
5F8K,2015
5FCI,2015
5FCJ,2015
5FDU,2015
5FDV,2015
5FL8,2015
5FLX,2015
5GAD,2015
5GAE,2015
5GAF,2015
5GAG,2015
5GAH,2015
5GAK,2015
5H1S,2016
5H4P,2016
5H5U,2016
5HAU,2015
5HCP,2016
5HCQ,2016
5HCR,2016
5HD1,2016
5HKV,2016
5HL7,2016
5I4L,2016
5IB8,2016
5IBB,2016
5IMQ,2016
5IMR,2016
5IQR,2016
5IT7,2016
5IT8,2016
5IT9,2016
5J30,2016
5J3C,2016
5J4B,2016
5J4C,2016
5J4D,2016
5J5B,2016
5J7L,2016
5J88,2016
5J8A,2016
5J8B,2016
5J91,2016
5JC9,2016
5JCS,2016
5JPQ,2016
5JTE,2016
5JU8,2016
5JUO,2016
5JUP,2016
5JUS,2016
5JUT,2016
5JUU,2016
5JVG,2016
5JVH,2016
5KCR,2016
5KCS,2016
5KPS,2016
5KPV,2016
5KPW,2016
5KPX,2016
5L3P,2016
5LI0,2016
5LKS,2016
5LL6,2016
5LMN,2016
5LMO,2016
5LMP,2016
5LMQ,2016
5LMR,2016
5LMS,2016
5LMT,2016
5LMU,2016
5LMV,2016
5LW7,2016
5LYB,2016
5LZA,2016
5LZB,2016
5LZC,2016
5LZD,2016
5LZE,2016
5LZF,2016
5LZS,2016
5LZT,2016
5LZU,2016
5LZV,2016
5LZW,2016
5LZX,2016
5LZY,2016
5LZZ,2016
5M1J,2016
5M3Q,2016
5M43,2016
5MC6,2016
5MDV,2016
5MDW,2016
5MDY,2016
5MDZ,2016
5ME0,2016
5ME1,2016
5MEI,2016
5MGP,2016
5MLC,2016
5MMI,2016
5MMJ,2016
5MMM,2016
5MRC,2016
5MRE,2016
5MRF,2016
5MY1,2017
5MYJ,2017
5NCO,2017
5ND8,2017
5ND9,2017
5NDG,2017
5NDJ,2017
5NDK,2017
5NDV,2017
5NDW,2017
5NGM,2017
5NO2,2017
5NO3,2017
5NO4,2017
5NP6,2017
5NRG,2017
5NWY,2017
5O2R,2017
5O5J,2017
5O60,2017
5O61,2017
5O9E,2017
5OBM,2017
5ON6,2017
5OOL,2017
5OOM,2017
5OPT,2017
5OQL,2017
5OSG,2017
5OT7,2017
5T2A,2016
5T2C,2016
5T5H,2016
5T62,2016
5T6R,2016
5T7V,2016
5TBW,2016
5TCU,2016
5TGA,2016
5TGM,2016
5U4I,2016
5U4J,2016
5U9F,2016
5U9G,2016
5UMD,2017
5UQ7,2017
5UQ8,2017
5UYK,2017
5UYL,2017
5UYM,2017
5UYN,2017
5UYP,2017
5UYQ,2017
5UZ4,2017
5V7Q,2017
5V8I,2017
5V93,2017
5VP2,2017
5VPO,2017
5VPP,2017
5VYC,2017
5W4K,2017
5WDT,2017
5WE4,2017
5WE6,2017
5WF0,2017
5WFK,2017
5WFS,2017
5WIS,2017
5WIT,2017
5WLC,2017
5WNP,2017
5WNQ,2017
5WNR,2017
5WNS,2017
5WNT,2017
5WNU,2017
5WNV,2017
5WYJ,2017
5WYK,2017
5X8P,2017
5X8R,2017
5X8T,2017
5XXB,2017
5XXU,2017
5XY3,2017
5XYI,2017
5XYM,2017
5XYU,2017
5YDT,2017
5Z1G,2017
5Z3G,2018
5ZEB,2018
5ZEP,2018
5ZET,2018
5ZEU,2018
5ZLU,2018
5ZZM,2018
6AWB,2017
6AWC,2017
6AWD,2017
6AZ1,2017
6AZ3,2017
6B4V,2017
6BOH,2017
6BOK,2017
6BU8,2017
6BUW,2017
6BY1,2017
6BZ6,2017
6BZ7,2017
6BZ8,2017
6C0F,2017
6C4I,2018
6C5L,2018
6CAE,2018
6CAO,2018
6CAP,2018
6CAQ,2018
6CAR,2018
6CAS,2018
6CB1,2018
6CFJ,2018
6CFK,2018
6CFL,2018
6CZR,2018
6D90,2018
6D9J,2018
6DDD,2018
6DDG,2018
6DNC,2018
6DTI,2018
6DZI,2018
6DZK,2018
6DZP,2018
6EK0,2017
6ELZ,2017
6EM1,2017
6EM3,2017
6EM4,2017
6EM5,2017
6EMF,2017
6EMG,2017
6EML,2017
6ENF,2017
6ENJ,2017
6ENU,2017
6ERI,2017
6FAI,2017
6FEC,2017
6FKR,2018
6FXC,2018
6FYX,2018
6FYY,2018
6G18,2018
6G4S,2018
6G4W,2018
6G51,2018
6G53,2018
6G5H,2018
6G5I,2018
6GAW,2018
6GAZ,2018
6GB2,2018
6GBZ,2018
6GC0,2018
6GC4,2018
6GC6,2018
6GC7,2018
6GC8,2018
6GQ1,2018
6GQB,2018
6GQV,2018
6GSJ,2018
6GSK,2018
6GSL,2018
6GSM,2018
6GSN,2018
6GWT,2018
6GXM,2018
6GXN,2018
6GXO,2018
6GXP,2018
6GZ3,2018
6GZ4,2018
6GZ5,2018
6GZQ,2018
6GZX,2018
6GZZ,2018
6H4N,2018
6H58,2018
6HA1,2018
6HA8,2018
6HCF,2018
6HCJ,2018
6HCM,2018
6HCQ,2018
6HHQ,2018
6HIV,2018
6HIW,2018
6HIX,2018
6HIY,2018
6HIZ,2018
6HMA,2018
6HRM,2018
6HTQ,2018
6I0Y,2018
6I7V,2018
6I9R,2018
6IP5,2018
6IP6,2018
6IP8,2018
6IY7,2018
6IZ7,2018
6IZI,2018
6J0A,2018
6J45,2019
6KE6,2019
6MKN,2018
6MPF,2018
6MPI,2018
6MTB,2018
6MTC,2018
6MTD,2018
6MTE,2018
6N1D,2018
6N8J,2018
6N8K,2018
6N8L,2018
6N8M,2018
6N8N,2018
6N8O,2018
6N9E,2018
6N9F,2018
6ND4,2018
6ND5,2018
6ND6,2018
6NDK,2018
6NQB,2019
6NU2,2019
6NU3,2019
6NY6,2019
6O7K,2019
6O97,2019
6O9J,2019
6O9K,2019
6OF1,2019
6OF6,2019
6OFX,2019
6OG7,2019
6OGF,2019
6OGG,2019
6OGI,2019
6OJ2,2019
6OKK,2019
6OLE,2019
6OLF,2019
6OLG,2019
6OLI,2019
6OLZ,2019
6OM0,2019
6OM7,2019
6OPE,2019
6ORD,2019
6ORE,2019
6ORL,2019
6OSK,2019
6OSQ,2019
6OST,2019
6OT3,2019
6OTR,2019
6OUO,2019
6OXA,2019
6OXI,2019
6P4G,2019
6P4H,2019
6P5I,2019
6P5J,2019
6P5K,2019
6P5N,2019
6PC5,2019
6PC6,2019
6PC7,2019
6PC8,2019
6PCH,2019
6PCQ,2019
6PCR,2019
6PCS,2019
6PCT,2019
6PJ6,2019
6PPF,2019
6PPK,2019
6PVK,2019
6Q95,2018
6Q97,2018
6Q98,2018
6Q9A,2018
6QDW,2019
6QIK,2019
6QKL,2019
6QNQ,2019
6QNR,2019
6QT0,2019
6QT8,2019
6QTA,2019
6QTB,2019
6QTZ,2019
6QZP,2019
6R5Q,2019
6R6G,2019
6R6P,2019
6R7Q,2019
6R84,2019
6R86,2019
6R87,2019
6RBD,2019
6RBE,2019
6RI5,2019
6RM3,2019
6RW4,2019
6RW5,2019
6RXT,2019
6RXU,2019
6RXV,2019
6RXX,2019
6RXY,2019
6RXZ,2019
6RZZ,2019
6S05,2019
6S0K,2019
6S0X,2019
6S0Z,2019
6S12,2019
6S13,2019
6SG9,2019
6SGA,2019
6SGB,2019
6SGC,2019
6SJ5,2019
6SJ6,2019
6SKF,2019
6SKG,2019
6SPB,2019
6SPC,2019
6SPD,2019
6SPE,2019
6SPF,2019
6SPG,2019
6SW9,2019
6SWC,2019
6SWD,2019
6SWE,2019
6SXO,2019
6SZS,2019
6T59,2019
6TBV,2019
6TC3,2019
6TH6,2019
6TMF,2019
6U48,2019
6UCQ,2019
6UO1,2019
6UZ7,2019
6V39,2019
6V3A,2019
6V3B,2019
6V3D,2019
6V3E,2019
6VLZ,2020
6VMI,2020
6VWL,2020
6VWM,2020
6VWN,2020
6W2S,2020
6W2T,2020
6WD0,2020
6WD1,2020
6WD2,2020
6WD3,2020
6WD4,2020
6WD5,2020
6WD6,2020
6WD7,2020
6WD8,2020
6WD9,2020
6WDA,2020
6WDB,2020
6WDC,2020
6WDD,2020
6WDE,2020
6WDF,2020
6WDG,2020
6WDH,2020
6WDI,2020
6WDJ,2020
6WDK,2020
6WDL,2020
6WDM,2020
6WNT,2020
6WNV,2020
6WNW,2020
6WQN,2020
6WQQ,2020
6WRS,2020
6WRU,2020
6WYV,2020
6XE0,2020
6XQD,2020
6XQE,2020
6XYW,2020
6XZ7,2020
6Y0G,2020
6Y2L,2020
6Y57,2020
6Y69,2020
6Y7C,2020
6YLE,2020
6YLF,2020
6YLG,2020
6YLH,2020
6YLX,2020
6YLY,2020
6Z1P,2020
6Z6J,2020
6Z6K,2020
6Z6L,2020
6Z6M,2020
6Z6N,2020
7BV8,2020
