PDB ID,Year,Method
4U3M,2014,X-RAY DIFFRACTION
4U3N,2014,X-RAY DIFFRACTION
4U3U,2014,X-RAY DIFFRACTION
4U4N,2014,X-RAY DIFFRACTION
4U4O,2014,X-RAY DIFFRACTION
4U4Q,2014,X-RAY DIFFRACTION
4U4R,2014,X-RAY DIFFRACTION
4U4U,2014,X-RAY DIFFRACTION
4U4Y,2014,X-RAY DIFFRACTION
4U4Z,2014,X-RAY DIFFRACTION
4U50,2014,X-RAY DIFFRACTION
4U51,2014,X-RAY DIFFRACTION
4U52,2014,X-RAY DIFFRACTION
4U53,2014,X-RAY DIFFRACTION
4U55,2014,X-RAY DIFFRACTION
4U56,2014,X-RAY DIFFRACTION
4U67,2014,X-RAY DIFFRACTION
4U6F,2014,X-RAY DIFFRACTION
4UG0,2015,ELECTRON MICROSCOPY
4UJC,2014,ELECTRON MICROSCOPY
4UJD,2014,ELECTRON MICROSCOPY
4UJE,2014,ELECTRON MICROSCOPY
4UY8,2014,ELECTRON MICROSCOPY
4V19,2014,ELECTRON MICROSCOPY
4V1A,2014,ELECTRON MICROSCOPY
4V3P,2014,ELECTRON MICROSCOPY
4V42,2001,X-RAY DIFFRACTION
4V47,2003,ELECTRON MICROSCOPY
4V48,2003,ELECTRON MICROSCOPY
4V49,2003,X-RAY DIFFRACTION
4V4A,2003,X-RAY DIFFRACTION
4V4B,2004,ELECTRON MICROSCOPY
4V4G,2004,X-RAY DIFFRACTION
4V4H,2006,X-RAY DIFFRACTION
4V4I,2007,X-RAY DIFFRACTION
4V4J,2007,X-RAY DIFFRACTION
4V4N,2013,ELECTRON MICROSCOPY
4V4P,2005,X-RAY DIFFRACTION
4V4Q,2005,X-RAY DIFFRACTION
4V4R,2005,X-RAY DIFFRACTION
4V4S,2005,X-RAY DIFFRACTION
4V4T,2005,X-RAY DIFFRACTION
4V4V,2006,ELECTRON MICROSCOPY
4V4W,2006,ELECTRON MICROSCOPY
4V4X,2006,X-RAY DIFFRACTION
4V4Y,2006,X-RAY DIFFRACTION
4V4Z,2006,X-RAY DIFFRACTION
4V50,2006,X-RAY DIFFRACTION
4V51,2006,X-RAY DIFFRACTION
4V52,2007,X-RAY DIFFRACTION
4V53,2007,X-RAY DIFFRACTION
4V54,2007,X-RAY DIFFRACTION
4V55,2007,X-RAY DIFFRACTION
4V56,2007,X-RAY DIFFRACTION
