DOI,PDB ID,Deposition Date,Struct Count,Experimental Method
10.1016/j.jmb.2018.06.006,"['6GQB', '6GQ1', '6GQV']","['2018']",3,ELECTRON MICROSCOPY
10.1006/jmbi.2000.3635,"['487D', '1C2X', '1C2W']","['2000', '1999']",3,ELECTRON MICROSCOPY
10.1016/j.jmb.2018.01.016,"['6CFL', '6CFK', '6CFJ']","['2018']",3,X-RAY DIFFRACTION
10.1006/jmbi.2001.4907,"['1JQM', '1JQT', '1JQS']","['2001']",3,ELECTRON MICROSCOPY
10.1261/rna.069260.118,"['6ND5', '6ND6']","['2018']",2,X-RAY DIFFRACTION
10.1038/nsmb.3132,"['5JCS', '5FL8']","['2016', '2015']",2,ELECTRON MICROSCOPY
10.1261/rna.5120503,"['1QVG', '1QVF']","['2003']",2,X-RAY DIFFRACTION
10.1261/rna.1118908,"['3CME', '3CMA']","['2008']",2,X-RAY DIFFRACTION
10.1038/nsmb861,"['1XMO', '1XMQ']","['2004']",2,X-RAY DIFFRACTION
10.1038/nsmb.2992,"['4Y4O', '4Y4P']","['2015']",2,X-RAY DIFFRACTION
10.1261/rna.031187.111,"['4V89', '4V85']","['2011']",2,X-RAY DIFFRACTION
10.7554/eLife.39273,"['6FYY', '6FYX']","['2018']",2,ELECTRON MICROSCOPY
10.1038/nsmb.1790,"['4V6G', '4V6F']","['2009']",2,X-RAY DIFFRACTION
10.1038/s41564-018-0237-0,"['6H4N', '6H58']","['2018']",2,ELECTRON MICROSCOPY
10.1038/s41564-020-0669-1,"['6TBV', '6TC3']","['2019']",2,ELECTRON MICROSCOPY
10.7554/eLife.54575,"['6W2T', '6W2S']","['2020']",2,ELECTRON MICROSCOPY
10.1038/s41467-020-16503-2,"['6RW5', '6RW4']","['2019']",2,ELECTRON MICROSCOPY
10.1002/pro.3085,"['5M43', '5M3Q']","['2016']",2,X-RAY DIFFRACTION
10.7554/eLife.34062,"['6D9J', '6D90']","['2018']",2,ELECTRON MICROSCOPY
10.7554/eLife.07975,"['3JAJ', '3JAN']","['2015']",2,ELECTRON MICROSCOPY
10.7554/eLife.13567,"['5IT7', '5IT9']","['2016']",2,ELECTRON MICROSCOPY
10.1038/nsmb866,"['1XNR', '1XNQ']","['2004']",2,X-RAY DIFFRACTION
10.1038/s41467-017-00753-8,"['6FXC', '5NGM']","['2018', '2017']",2,ELECTRON MICROSCOPY
10.7554/eLife.23687,"['5U9G', '5U9F']","['2016']",2,ELECTRON MICROSCOPY
10.1038/s41467-017-01664-4,"['6AZ3', '6AZ1']","['2017']",2,ELECTRON MICROSCOPY
10.7554/eLife.09684,"['3JBV', '3JBU']","['2015']",2,ELECTRON MICROSCOPY
10.1261/RNA.367307,"['2UXC', '2UXD']","['2007']",2,X-RAY DIFFRACTION
10.7554/eLife.22086,"['5WYJ', '5WYK']","['2017']",2,ELECTRON MICROSCOPY
10.1038/nsmb.3464,"['5OOL', '5OOM']","['2017']",2,ELECTRON MICROSCOPY
10.1038/s41467-019-10409-4,"['6QNQ', '6QNR']","['2019']",2,X-RAY DIFFRACTION
10.1038/nsmb.3160,"['3JCD', '3JCE']","['2015']",2,ELECTRON MICROSCOPY
10.15252/embj.201696105,"['5ND9', '5ND8']","['2017']",2,ELECTRON MICROSCOPY
10.1038/s41467-019-10678-z,"['6RBD', '6RBE']","['2019']",2,ELECTRON MICROSCOPY
10.15252/embj.201696012,"['5T6R', '5T62']","['2016']",2,ELECTRON MICROSCOPY
10.1038/nsmb.1577,"['4V5D', '4V5C']","['2009']",2,X-RAY DIFFRACTION
10.1038/s41598-018-20107-8,"['6C5L', '6C4I']","['2018']",2,X-RAY DIFFRACTION
10.1128/mBio.00395-17,"['5T7V', '5TCU']","['2016']",2,ELECTRON MICROSCOPY
10.1073/pnas.1815675116,"['6NU2', '6NU3']","['2019']",2,ELECTRON MICROSCOPY
10.1073/pnas.1604790113,"['5KCS', '5KCR']","['2016']",2,ELECTRON MICROSCOPY
10.1093/nar/gkx785,"['5V7Q', '5V93']","['2017']",2,ELECTRON MICROSCOPY
10.1073/pnas.1614297113,"['5JVH', '5JVG']","['2016']",2,X-RAY DIFFRACTION
10.1093/nar/gkx673,"['5WIT', '5WIS']","['2017']",2,X-RAY DIFFRACTION
10.1093/nar/gkx658,"['5NRG', '5HKV']","['2017', '2016']",2,X-RAY DIFFRACTION
10.1073/pnas.1808535115,"['6HA8', '6HA1']","['2018']",2,ELECTRON MICROSCOPY
10.1073/pnas.1809319115,"['5VPP', '5VPO']","['2017']",2,X-RAY DIFFRACTION
10.1074/JBC.M800233200,"['2VQE', '2VQF']","['2008']",2,X-RAY DIFFRACTION
10.1128/AAC.00817-09,"['3I56', '3I55']","['2009']",2,X-RAY DIFFRACTION
10.1074/jbc.M116.725945,"['5IMR', '5IMQ']","['2016']",2,ELECTRON MICROSCOPY
10.1093/emboj/19.2.174,"['1DD4', '1DD3']","['1999']",2,X-RAY DIFFRACTION
10.1093/nar/gkw431,"['5IBB', '5IB8']","['2016']",2,X-RAY DIFFRACTION
10.1093/nar/gkw246,"['5J4B', '5J4C']","['2016']",2,X-RAY DIFFRACTION
10.1093/nar/gkt423,"['3J3V', '3J3W']","['2013']",2,ELECTRON MICROSCOPY
10.1093/nar/gkw1251,"['5ME1', '5ME0']","['2016']",2,ELECTRON MICROSCOPY
10.1093/nar/gkv975,"['5DM7', '5DM6']","['2015']",2,X-RAY DIFFRACTION
10.1093/nar/gky1211,"['6N9E', '6N9F']","['2018']",2,X-RAY DIFFRACTION
10.1093/nar/gky693,"['6CAR', '6CAS']","['2018']",2,X-RAY DIFFRACTION
10.1073/pnas.1406335111,"['3J6Y', '3J6X']","['2014']",2,ELECTRON MICROSCOPY
10.1073/pnas.1301585110,"['4V97', '4V8J']","['2012', '2011']",2,X-RAY DIFFRACTION
10.1126/science.aaa3872,"['5AJ4', '5AJ3']","['2015']",2,ELECTRON MICROSCOPY
10.1126/science.289.5481.920,"['1FG0', '1FFZ']","['2000']",2,X-RAY DIFFRACTION
10.1126/science.1240585,"['4V8Z', '4V8Y']","['2013']",2,ELECTRON MICROSCOPY
10.1126/science.1235970,"['4V9O', '4V9P']","['2013']",2,X-RAY DIFFRACTION
10.1073/PNAS.1513216112,"['5A9Z', '5AA0']","['2015']",2,ELECTRON MICROSCOPY
10.1073/pnas.0401904101,"['1T1M', '1T1O']","['2004']",2,ELECTRON MICROSCOPY
10.1126/sciadv.1501502,"['3JCN', '3JCJ']","['2016', '2015']",2,ELECTRON MICROSCOPY
10.1073/pnas.0901631106,"['3IY8', '3IY9']","['2009']",2,ELECTRON MICROSCOPY
10.1126/sciadv.1500169,"['3JA1', '3J9Z']","['2015']",2,ELECTRON MICROSCOPY
10.1073/pnas.1009999107,"['4V6I', '3IZD']","['2010']",2,ELECTRON MICROSCOPY
10.1073/pnas.1018582108,"['4V84', '4V83']","['2010']",2,X-RAY DIFFRACTION
10.1073/pnas.1019406108,"['3PIP', '3PIO']","['2010']",2,X-RAY DIFFRACTION
10.1073/pnas.1133380100,"['4V49', '4V4A']","['2003']",2,X-RAY DIFFRACTION
10.1073/pnas.1216691110,"['4V9B', '4V9A']","['2012']",2,X-RAY DIFFRACTION
10.1073/pnas.1222641110,"['4GKK', '4GKJ']","['2012']",2,X-RAY DIFFRACTION
10.1038/nsmb.1755,"['4V7M', '4V7L']","['2009']",2,X-RAY DIFFRACTION
10.1002/cmdc.201900042,"['6DDD', '6DDG']","['2018']",2,ELECTRON MICROSCOPY
10.1038/s41467-020-15517-0,"['6SJ5', '6SJ6']","['2019']",2,X-RAY DIFFRACTION
10.1016/j.jmb.2016.02.013,"['5FCJ', '5FCI']","['2015']",2,X-RAY DIFFRACTION
10.1038/ncomms13223,"['5T2C', '5T2A']","['2016']",2,ELECTRON MICROSCOPY
10.1016/S0092-8674(03)00427-6,"['4V48', '4V47']","['2003']",2,ELECTRON MICROSCOPY
10.1016/j.str.2014.06.003,"['3J78', '3J77']","['2014']",2,ELECTRON MICROSCOPY
10.1038/ncomms12026,"['5JTE', '5JU8']","['2016']",2,ELECTRON MICROSCOPY
10.1016/j.str.2017.06.004,"['4U67', '4WFN']","['2014']",2,X-RAY DIFFRACTION
10.1016/S0969-2126(03)00022-4,"['1NWY', '1NWX']","['2003']",2,X-RAY DIFFRACTION
10.1038/nature26156,"['6CB1', '6C0F']","['2018', '2017']",2,ELECTRON MICROSCOPY
10.1038/nature24482,"['6EK0', '6QZP']","['2017', '2019']",2,ELECTRON MICROSCOPY
10.1038/nature21053,"['5U4I', '5U4J']","['2016']",2,ELECTRON MICROSCOPY
10.1016/j.str.2018.01.013,"['5UQ8', '5UQ7']","['2017']",2,ELECTRON MICROSCOPY
10.1016/j.str.2018.04.001,"['6BOK', '6BOH']","['2017']",2,X-RAY DIFFRACTION
10.1038/nature12104,"['4V6W', '4V6X']","['2013']",2,ELECTRON MICROSCOPY
10.1016/j.cell.2009.11.015,"['4V7K', '4V7J']","['2009']",2,X-RAY DIFFRACTION
10.1016/j.cell.2014.10.001,"['3J80', '3J81']","['2014']",2,ELECTRON MICROSCOPY
10.1038/nature05326,"['2J37', '2J28']","['2006']",2,ELECTRON MICROSCOPY
10.1021/cb700100n,"['4V56', '4V57']","['2007']",2,X-RAY DIFFRACTION
10.1038/nature01224,"['1MVR', '1MI6']","['2002']",2,ELECTRON MICROSCOPY
10.1016/j.jmb.2007.01.081,"['2OTJ', '2OTL']","['2007']",2,X-RAY DIFFRACTION
10.1038/emboj.2011.58,"['4V6L', '4V6K']","['2011']",2,ELECTRON MICROSCOPY
10.1016/j.celrep.2013.12.024,"['4V9S', '4V9R']","['2013']",2,X-RAY DIFFRACTION
10.1038/NSMB.2859,"['4UJD', '4UJC']","['2014']",2,ELECTRON MICROSCOPY
10.1038/NATURE09547,"['4V5M', '4V5N']","['2010']",2,ELECTRON MICROSCOPY
10.1038/NATURE13895,"['4V19', '4V1A']","['2014']",2,ELECTRON MICROSCOPY
10.1016/j.jmb.2011.12.048,"['3T1H', '3T1Y']","['2011']",2,X-RAY DIFFRACTION
10.1016/j.str.2017.09.014,"['5OSG', '5OPT']","['2017']",2,ELECTRON MICROSCOPY
10.1016/j.molcel.2006.05.003,"['4V4V', '4V4W']","['2006']",2,ELECTRON MICROSCOPY
10.1006/jmbi.1999.3061,"['1C06', '1C05']","['1999']",2,SOLUTION NMR
10.1002/prot.20541,"['1VI6', '1VI5']","['2003']",2,X-RAY DIFFRACTION
10.1007/s13238-017-0456-9,"['5XYU', '5XYM']","['2017']",2,ELECTRON MICROSCOPY
10.1016/j.molcel.2007.10.034,"['3BO1', '3BO0']","['2007']",2,ELECTRON MICROSCOPY
10.1016/J.CELL.2005.02.005,"['1YIT', '1YJW']","['2005']",2,X-RAY DIFFRACTION
